Laser/facility,Institution,Country,Wavelength,Pulse energy,Pulse duration [fs],Peak power,Rep. rate,Year demonstrated,Laser technology,Reference DOI/link,Notes,Description
CETAL,INFLPR Magurele,Romania,800 nm,25 J,25 fs,1 PW,0.1 Hz,2018,Ti:sapphire CPA,https://www.scientificbulletin.upb.ro/static/pdfs/rez77c_579951.pdf,Also 45 TW at 10 Hz mode.,"CETAL (Center for Advanced Laser Technologies) was established as Romania's national petawatt-class laser facility to support research in high-field laser physics, laser–plasma interactions, advanced photonics, and materials science. In addition to serving as a platform for fundamental research, the facility provides a technological foundation for developing high-power laser instrumentation and complements the larger European-scale capabilities available at ELI-NP."
ELI-NP 10 PW,ELI-NP Magurele,Romania,800 nm,250 J,25 fs,10.2 PW,1 shot/min,2019,OPCPA front end + Ti:sapphire,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/7F68E8E791BE58DAD69566A9DD53A96B/S2095471922000111a.pdf/10-pw-peak-power-femtosecond-laser-pulses-at-eli-np.pdf,Paper cites March 2019 10 PW demonstration.,"ELI-NP is the world's first operational dual-arm 10 PW laser facility, designed specifically to enable experiments at the intersection of ultra-intense laser science and nuclear physics. By combining two synchronized 10 PW beamlines with a high-brilliance gamma-beam source, the facility supports frontier research in laser-driven nuclear reactions, nonlinear quantum electrodynamics, particle acceleration, and laboratory astrophysics, while operating as an international user facility."
PEARL,IAP RAS Nizhny Novgorod,Russia,910 nm,14.5 J,45 fs,0.2 TW,<1 Hz,2006,DKDP OPCPA,10.1364/OPEX.14.000446,First operational PW-class OPCPA path.,"PEARL (PEtawatt pARametric Laser) pioneered the use of optical parametric chirped-pulse amplification (OPCPA) for generating high-energy ultrashort pulses, demonstrating an alternative to conventional Ti:sapphire petawatt architectures. The facility has served as a testbed for high-contrast pulse generation and investigations of relativistic laser–matter interactions, while informing the development of subsequent multi-petawatt OPCPA systems worldwide."
SG-II 5 PW OPCPA,SIOM/NLHPLP,China,800 nm,37 J,21 fs,1.76 PW,1 shot/hr,2018,OPCPA pumped by SG-II beams,10.1017/hpl.2018.23,Designed for 5 PW.,"The SG-II 5 PW OPCPA system was developed to demonstrate the scalability of optical parametric chirped-pulse amplification to multi-petawatt peak powers while maintaining excellent pulse contrast and broad amplification bandwidth. The facility supports research in relativistic laser–plasma interactions, laboratory astrophysics, high-energy-density physics, and strong-field quantum electrodynamics, and has served as a key technology demonstrator for China's next generation of ultra-intense laser facilities."
Qiangguang,SIOM State Key Lab,China,800 nm,52 J,26 fs,2 PW,<1 Hz,2012,Ti:sapphire CPA,10.1364/OE.21.029231,Earlier 0.89 PW in 2006.,"Qiangguang was developed to investigate relativistic laser–plasma interactions and the generation of laser-driven particle and radiation sources at ultra-high intensities. The facility has also served as a testbed for advancing high-field laser technologies, including improvements in pulse contrast, beam quality, and target interaction physics that support next-generation ultra-intense laser systems."
SIOM CPA-OPCPA hybrid,SIOM State Key Lab,China,800 nm,45.3 J,32 fs,1.02 PW,<1 Hz,2015,Hybrid CPA-OPCPA,10.1364/OL.40.003412,Paper reports improvement to 1 PW.,"This hybrid laser architecture combines conventional chirped-pulse amplification (CPA) with optical parametric chirped-pulse amplification (OPCPA) to leverage the high energy scalability of CPA and the broad bandwidth and high temporal contrast of OPCPA. The system was developed as a technology demonstrator for future multi-petawatt lasers, validating hybrid amplification strategies that have since been incorporated into higher-power facilities such as SULF."
SULF Prototype,SIOM / ShanghaiTech,China,800 nm,192.3 J,24 fs,5.4 PW,<1 Hz,2016,Ti:sapphire CPA,10.1364/OE.25.005169,Full SULF aimed at 10 PW.,"The SULF prototype served as the precursor to the full Shanghai Superintense Ultrafast Laser Facility, demonstrating key technologies required for reliable 10 PW-class operation, including high-energy Ti:sapphire amplification, pulse compression, and ultrahigh temporal contrast. Its successful commissioning established the technological foundation for the operational SULF user facility, which supports research in strong-field physics, high-energy-density science, particle acceleration, and ultrafast materials science."
CAEP-PW,CAEP Mianyang,China,800 nm,91.1 J,18.6 fs,4.9 PW,<1 Hz,2017,All-OPCPA,10.1364/OL.42.002014,Planned scaling to ~15 PW.,"CAEP-PW is a multi-petawatt laser facility developed to investigate relativistic laser–matter interactions, laboratory astrophysics, and high-energy-density physics under extreme electromagnetic fields. The system emphasizes high pulse quality and temporal contrast, providing a platform for experiments in laser-driven particle acceleration, secondary radiation source generation, and strong-field plasma physics while contributing to the development of China's next generation of ultra-intense laser technology."
XL-III,IOP CAS Beijing,China,800 nm,52 J,26 fs,2 PW,<1 Hz,2011,Ti:sapphire CPA,https://doi.org/10.1364/OE.21.029231?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,First >1 PW facility in China.,"XL-III is a petawatt-class Ti:sapphire laser facility designed for studies of ultrafast, relativistic laser–plasma interactions and the production of high-brightness secondary particle and photon sources. The facility has been extensively used to investigate laser-driven electron and ion acceleration, high-order harmonic generation, and nonlinear strong-field phenomena, while also serving as a platform for developing advanced diagnostics and high-intensity laser techniques."
XG-III fs beam,CAEP Mianyang,China,800 nm,20.1 J,26.8 fs,0.75 PW,not stated,2018,Ti:sapphire CPA,10.1088/1612-202X/aa94e9,Paper gives 0.7 PW and duration; energy estimated.,"The XG-III femtosecond beam is an ultrashort-pulse beamline within the XingGuang-III laser platform, designed to support pump–probe experiments and relativistic laser–plasma interaction studies relevant to inertial confinement fusion and high-energy-density physics. Its integration with long-pulse capabilities enables time-resolved investigations of matter under extreme conditions, providing a versatile platform for laser-driven particle acceleration and secondary radiation source generation."
GEKKO XII PW beam,Osaka Univ. ILE,Japan,1053 nm,420 J,470 fs,0.9 PW,3 shots/day,2004,OPCPA front end + Nd:glass CPA,10.1109/JQE.2003.823043,First petawatt class laser in Asia.,"The petawatt beam added to the GEKKO XII laser facility was developed to investigate the fast-ignition approach to inertial confinement fusion by combining ultrashort, ultra-intense heating pulses with long-pulse target compression. Beyond fusion research, the beamline has enabled studies in relativistic laser–plasma interactions, high-energy-density physics, and laser-driven particle acceleration, establishing GEKKO XII as one of the pioneering hybrid long- and short-pulse laser facilities."
LFEX,Osaka Univ. ILE,Japan,1053 nm,2 kJ demonstrated,1 ps,2 PW,<1 Hz,2016,Four-beam segmented Nd:glass CPA with OPCPA front end,https://doi.org/10.1063/1.4948278,Paper reports current 2 PW in 1 ps.,"LFEX was specifically developed to deliver multi-kilojoule, picosecond laser pulses for fast-ignition inertial confinement fusion experiments in conjunction with the GEKKO XII compression laser. In addition to advancing fast-ignition research, the facility supports investigations of relativistic plasma physics, high-energy-density science, and intense laser–matter interactions at extreme energy densities."
J-KAREN-P,QST/KPSI,Japan,800 nm,63 J demonstrated,30 fs,> 1 PW demonstrated,0.1 Hz,2018,Hybrid OPCPA/Ti:sapphire,10.1364/OL.43.002595,High-contrast PW-class upgrade.,"J-KAREN-P is a high-contrast petawatt Ti:sapphire laser optimized for experiments requiring exceptional pulse fidelity, making it particularly well suited for relativistic laser–plasma interactions, laser-driven ion and electron acceleration, and high-field quantum electrodynamics. The facility has been widely used to develop advanced target technologies and precision diagnostics, while serving as one of Japan's flagship user facilities for ultra-intense laser science."
SACLA/HERMES laser,RIKEN SPring-8,Japan,800 nm,12.5 J,25 fs,0.5 PW/beam,1 Hz,2019,Ti:sapphire CPA,https://doi.org/10.1107/S1600577519000882,Two 0.5 PW beams; user mode initially reduced.,"The HERMES laser is an ultrafast optical laser system synchronized with the SACLA X-ray free-electron laser (XFEL), enabling femtosecond pump–probe experiments that combine ultra-intense optical excitation with coherent hard X-ray diagnostics. This integrated platform supports investigations of ultrafast structural dynamics, high-field light–matter interactions, nonlinear X-ray physics, and strong-field quantum electrodynamics, leveraging the exceptional temporal synchronization between the optical and XFEL beamlines."
CoReLS 4 PW,IBS CoReLS / GIST,South Korea,800 nm,83 J,19.4 fs,4.2 PW,0.1 Hz,2017,Ti:sapphire CPA with XPW/OPA front end,10.1364/OL.42.002058,Upgraded from earlier 1.1 PW and 1.5 PW beamlines.,"The CoReLS 4 PW laser was developed to achieve extreme focused intensities through advanced wavefront correction and adaptive optics, becoming the first laser system to experimentally exceed an intensity of 1 × 10^23 W/cm^2. The facility is a leading platform for strong-field quantum electrodynamics, relativistic laser-plasma interactions, laser-driven particle acceleration, and laboratory astrophysics, with ongoing research into nonlinear Compton scattering, Breit-Wheeler pair production, and radiation-pressure ion acceleration."
EXLS,IBS CoReLS,South Korea,800 nm,31 J,22 fs,1 PW,0.1 Hz,2016,Ti:sapphire CPA,https://doi.org/10.1364/OL.42.002058,Paper calls it upgraded to 1 PW.,"EXLS is a conceptual exawatt-class laser architecture proposed to investigate physical regimes beyond those accessible with current multi-petawatt facilities. The design explores coherent beam combination and advanced pulse compression technologies to enable experiments in nonlinear quantum electrodynamics, vacuum pair production, laboratory astrophysics, and other extreme-field phenomena anticipated at exawatt intensities."
RRCAT PW,RRCAT Indore,India,800 nm,25 J,25 fs,1.1 PW reported; 1 PW est.,0.1 Hz,2025,Ti:sapphire CPA + XPW front end,Article DOI,"Paper also notes existing 150 TW, 5 Hz system.","The RRCAT petawatt laser was developed as India's flagship ultrafast high-intensity laser facility to support research in relativistic laser–matter interactions, laser-driven particle acceleration, high-energy-density physics, and secondary radiation source generation. In addition to enabling fundamental studies in strong-field science, the facility provides a national platform for advancing indigenous high-power laser technologies and ultrafast diagnostics."
100-mJ-class 1.7 µm DC-OPA,RIKEN / University of Tokyo-related group,Japan,1.7 µm,0.105 J,10.4 fs,0.010096 PW,10 Hz,2022,Dual-chirped OPA,https://arxiv.org/abs/2202.03658,"Demonstrated 105 mJ, 10.4 fs pulses at 1.7 µm and 10 Hz, making it a strong high-energy shortwave-infrared dual-chirped OPA source.","This system is a high-peak-power dual-chirped optical parametric amplifier operating near 1.7 µm, designed to generate few-cycle infrared pulses. Its significance is that it pushes sub-two-cycle pulse generation into the 100-mJ energy class, making it useful for strong-field physics and long-wavelength high-harmonic generation."
1.8 µm two-cycle OPCPA,NRC Canada / attoscience group,Canada,1.8 µm,0.03 J,11.6 fs,0.002586 PW,10 Hz,2017,OPCPA / frequency-domain synthesis,https://doi.org/10.1364/OE.25.027706,"Generated 30 mJ, 11.6 fs two-cycle pulses at 1.8 µm using OPCPA and frequency-domain synthesis for attosecond and strong-field applications.","This OPCPA system produces few-cycle pulses near 1.8 µm using frequency-domain synthesis and optical parametric amplification. It is important because it provides high-power, carrier-envelope-phase-stable pulses in the short-wave infrared region for attosecond science and nonlinear optics."
2.2 µm high-rep OPCPA,"ETH Zürich, Ultrafast Laser Physics group",Switzerland,2.2 µm,0.00025 J,16.5 fs,0.000014 PW,100 kHz,2020,OPCPA,https://doi.org/10.1364/OPTICA.379846?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,"Produced 250 µJ, 16.5 fs pulses at 2.2 µm with a 100 kHz repetition rate, emphasizing high-average-power mid-IR operation rather than extreme peak power.","This laser is a high-repetition-rate OPCPA source operating near 2.2 µm, emphasizing average power and stability rather than maximum single-shot energy. Its high repetition rate makes it valuable for high-harmonic generation, water-window X-ray production, and precision ultrafast spectroscopy."
2.44 µm advanced DC-OPA,RIKEN / University of Tokyo-related group,Japan,2.44 µm,0.053 J,8.58 fs,0.006177 PW,10 Hz,2024,Advanced dual-chirped OPA,https://doi.org/10.1038/s41566-023-01331-9,"Advanced DC-OPA system delivering 53 mJ, 8.58 fs pulses at 2.44 µm and 10 Hz, giving multi-terawatt few-cycle SWIR output.","This advanced dual-chirped OPA operates near 2.44 µm and reaches multi-terawatt peak power with near-single-cycle pulse duration. It is significant because it extends high-energy, ultrashort infrared pulse generation deeper into the mid-infrared regime."
3–5 µm tunable mid-IR OPA,Shanghai Jiao Tong University-related mid-IR group,China,3.425 µm,0.0133 J,111 fs,0.00012 PW,10 Hz,2013,Tunable noncollinear OPA / OPCPA,https://doi.org/10.1364/OL.38.002159,"Tunable 3–5 µm noncollinear OPA source with a representative 3.425 µm point, delivering 13.3 mJ in 111 fs at 10 Hz.","This tunable mid-infrared OPA covers a broad wavelength range from roughly 3 to 5 µm while maintaining high pulse energy and short pulse duration. It is useful as a flexible source for wavelength-dependent strong-field physics, molecular spectroscopy, and mid-IR nonlinear optics."
4 µm OPCPA + HCF compression,"SIOM, Chinese Academy of Sciences",China,4 µm,2.6 mJ,21.5,0.000121 PW,100 Hz,2018,KTA-based OPCPA + krypton-filled hollow-core fiber compression,https://doi.org/10.1364/OL.43.002197,"KTA-based 4 µm OPCPA followed by krypton-filled hollow-core-fiber compression produced 2.6 mJ, 21.5 fs pulses at 100 Hz.","This system combines a 4 µm OPCPA with hollow-core fiber compression to produce near-single-cycle mid-infrared pulses. Its importance comes from achieving high peak power at 4 µm, a wavelength region useful for driving long-wavelength high-harmonic generation and relativistic laser–matter studies."
5 µm OPCPA,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,4.9 µm,3.4 mJ,89.4 fs,0.000038 PW,1 kHz,2020,ZnGeP2 OPCPA,https://doi.org/10.1364/OL.402562,"ZnGeP2 OPCPA at about 4.9 µm delivered 3.4 mJ, 89.4 fs pulses at 1 kHz, extending high-repetition OPCPA into the mid-IR.","This ZnGeP₂-based OPCPA system generates high-energy ultrashort pulses around 5 µm, reaching record-class peak power beyond the common 3–4 µm mid-IR range. It is important because 5 µm sources are technically difficult and useful for molecular fingerprint spectroscopy and long-wavelength strong-field experiments."
7 µm OPCPA,ICFO / international mid-IR OPCPA group,Spain / International,7 µm,0.00075 J,188 fs,0.000004 PW,100 Hz,2019,OPCPA with Ho:YLF pump laser,https://doi.org/10.1364/OL.44.003194,"Ho:YLF-pumped OPCPA produced 0.75 mJ, 188 fs pulses near 7 µm at 100 Hz, providing a long-wavelength mid-IR data point.","This 7 µm OPCPA extends high-peak-power ultrafast laser operation into the long-wave mid-infrared region. It is significant because few systems can generate sub-picosecond, millijoule-class pulses at this wavelength, making it a valuable anchor point for peak-power versus wavelength comparisons."
BNL ATF CO₂ CPA,Brookhaven National Laboratory Accelerator Test Facility,USA,9.2 µm,10 J,2000 fs,0.005 PW,<1 Hz,Current facility capability,CO₂ CPA gas laser,BNL | Accelerator Test Facility | CO2 Laser,"BNL ATF CO2 CPA is a long-wavelength gas-laser facility capability around 9.2 µm, designed for joule-class picosecond CO2 laser experiments.",The BNL ATF CO₂ CPA laser is a long-wave infrared laser operating near 9.2 µm with terawatt-class peak power. It is especially important for laser wakefield acceleration and inverse-Compton scattering experiments because CO₂ lasers naturally match plasma and accelerator physics applications at longer wavelengths.
UCLA Neptune CO₂,UCLA Neptune Laboratory,USA,10.6 µm,45 J,3000 fs,0.015 PW,<1 Hz,2010,CO₂ MOPA laser,https://doi.org/10.1364/OE.18.017865,"UCLA Neptune demonstrated a high-energy CO2 MOPA laser near 10.6 µm with 45 J, 3 ps pulses, giving a strong LWIR peak-power point.",The UCLA Neptune CO₂ laser is a high-peak-power 10.6 µm CO₂ system that demonstrated multi-terawatt picosecond pulses. It is an important historical LWIR benchmark because it showed that gas-based CO₂ laser systems could reach peak powers relevant to plasma acceleration and high-field laser–matter interaction studies.
11.4 µm LWIR OPCPA,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,11.4 µm,0.000065 J,185 fs,0.0000003 PW,1 kHz,2022,GaSe OPCPA,https://doi.org/10.1364/ASSL.2022.AM5A.2,"GaSe-based LWIR OPCPA reached 65 µJ, 185 fs pulses at 11.4 µm and 1 kHz, extending OPCPA coverage beyond 10 µm.","This LWIR OPCPA system operating at 11.4 µm extends ultrafast optical parametric amplification into the long-wave infrared region using GaSe nonlinear crystals. It demonstrates one of the longest-wavelength femtosecond OPCPA sources reported, enabling strong-field physics, molecular spectroscopy, and long-wavelength nonlinear optics."
Ho:YLF CPA pump laser for MIR OPCPA,CREOL / University of Central Florida,USA,2.051 µm,0.028 J,6.8 ps,0.00000412 PW,1 kHz,2020,Ho:YLF chirped-pulse amplification,arXiv:2004.12648,"Ho:YLF CPA system at 2.051 µm delivered 28 mJ, 6.8 ps pulses at 1 kHz as a pump platform for mid-IR OPCPA.",This Ho:YLF chirped-pulse amplification laser serves as a high-energy pump source for mid-infrared OPCPA systems. Its high pulse energy and excellent stability make it a key enabling technology for scaling high-peak-power lasers beyond the traditional Ti:sapphire wavelength range.
High peak-power Ho:CALGO femtosecond amplifier,Ruhr University Bochum / collaborators,Germany,2.1 µm,~51 µJ est.,97 fs,525 MW,100 kHz,2024,Ho:CALGO CPA plus nonlinear compression,Experiments and numerical simulations of Ho:CALGO regenerative amplifier at 2.08 µm,"Ho:CALGO CPA plus nonlinear compression produced sub-100 fs pulses near 2.1 µm at 100 kHz, useful as a high-repetition SWIR amplifier example.",This Ho:CALGO regenerative amplifier generates high-average-power femtosecond pulses near 2.1 µm with excellent beam quality. It is designed as an efficient seed source for next-generation mid-infrared OPCPA systems and high-repetition-rate strong-field experiments.
KALDERA,DESY / University of Hamburg,Germany,1.03 µm,~3 J target,~30 fs target,100 TW target,1 kHz target,2025,Yb:YAG / diode-pumped high-average-power CPA,SPIE-linked listing,"KALDERA is a planned diode-pumped Yb:YAG CPA system targeting 3 J, 30 fs, 100 TW pulses at 1 kHz for high-average-power laser-plasma applications.","KALDERA is a diode-pumped Yb:YAG chirped-pulse amplification laser being developed to deliver high-average-power femtosecond pulses at kilohertz repetition rates. The project targets applications requiring both high peak power and high throughput, including plasma accelerators and advanced photon sources."
MEC-U high-repetition-rate petawatt laser,SLAC National Accelerator Laboratory,USA,1053 nm (design),150 J (des9gn),150 fs (design),1 PW (design),10 Hz (design),Not yet demonstrated,Diode-pumped glass CPA (DPSSL),https://doi.org/10.1364/CLEO_SI.2023.STu4H.2,"MEC-U is a design-stage DPSSL glass CPA system aiming for 150 J, 150 fs, 1 PW pulses at 10 Hz for SLAC high-energy-density experiments.","MEC-U is the next-generation Matter in Extreme Conditions laser at SLAC, designed to provide petawatt-class pulses at significantly higher repetition rates than conventional flashlamp-pumped systems. It will support ultrafast X-ray science, high-energy-density physics, and laser-plasma interaction experiments alongside the Linac Coherent Light Source."
8.9 µm ZGP OPCPA,Max Born Institute (MBI),Germany,8.9 µm,~20 µJ,~126 fs,~0.16 GW,1 kHz,2022,ZGP OPCPA,High power (>5 W) λ∼9.6 μm tapered quantum cascade lasers grown by OMVPE - ScienceDirect,"ZGP OPCPA near 8.9 µm is listed as a low-energy ultrafast LWIR source, but the source link and exact parameters should be rechecked before final use.",This ZnGeP₂ OPCPA system operating near 8.9 µm demonstrates one of the highest-power ultrafast laser sources in the long-wave mid-infrared. It extends nonlinear optical amplification toward the CO₂ laser wavelength region while maintaining femtosecond pulse durations.
